Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date
AC_000007.1,Human adenovirus 2,"Davison,A.J., Benko,M., Harrach,B., Moore,C.L., Sharp,P.A., Roberts,R.J., O'Neill,K.E., Yen,C.T., Alestrom,P., Akusjarvi,G., Lager,M., Yeh-kai,L., Pettersson,U., Mautner,V., Mackay,N., Wold,W.S., Cladaras,C., Magie,S.C., Yacoub,N., Natarajan,V., Madden,M.J., Salzman,N.P., Padgett,R.A., Konarska,M.M., Grabowski,P.J., Hardy,S.F., Leff,T., Elkaim,R., Goding,C.R., Jalinot,P., Sassone-Corsi,P., Perricaudet,M., Kedinger,C., Chambon,P., Freyer,G.A., Katoh,Y., Downey,J.F., Evelegh,C.M., Branton,P.E., Bayley,S.T., Tigges,M.A., Raskas,H.J., Le Moullec,J.M., Stalhandske,P., Chambraud,B., Gilardi,P., Nasri,M., Kruijer,W., van Schaik,F.M., Speijer,J.G., Sussenbach,J.S., Sung,M.T., Cao,T.M., Lischwe,M.A., Coleman,R.T., Yeh-Kai,L., Tremblay,M., Weber,J., Lewis,J.B., Anderson,C.W., Budelier,K.A., Persson,H., Philipson,L., Virtanen,A., Goldenberg,C.J., Hauser,S.D., Rowe,D.T., Bacchetti,S., Graham,F.L., Oosterom-Dragon,E.A., Ahmed,C.M., Chanda,R.S., Stow,N.D., Zain,B.S., Pettersson,M., Gingeras,T.R., Sciaky,D., Gelinas,R.E., Bing-Dong,J., Yen,C.E., Kelly,M.M., Bullock,P.A., Parsons,B.L., Osborne,T.F., Gaynor,R.B., Berk,A.J., Uhlen,M., Svensson,C., Josephson,S., Chattapadhyaya,J.B., van Beveren,C.P., Maat,J., Dekker,B.M., van Ormondt,H., Baker,C.C., Ziff,E.B., Hashimoto,S., Pursley,M.H., Green,M., Zabielski,J., Buttner,W., Veres-Molnar,Z., Van Etten,R.A., Walberg,M.W., Clayton,D.A., Jornvall,H., Mathews,M.B., Andersson,P., Vennstrom,B., Zain,S., Bullock,P., Wong,G., Herisse,J., Courtois,G., Galibert,F., Ziff,E., Shinagawa,M., Padmanabhan,R., Sambrook,J., Keller,W., Fried,M., Dunn,A.R., Celma,M.L., Pan,J., Weissman,S.M., Ohlsson,H., Ohe,K., Schmitt,R.C., Smart,J.E.","National Center for Biotechnology Information, NIH",USA,2004-12-01,,Human mastadenovirus C,35937,complete,,,,,
AC_000008.1,Human adenovirus 5,"Davison,A.J., Benko,M., Harrach,B., Chroboczek,J., Bieber,F., Jacrot,B.","National Center for Biotechnology Information, NIH",USA,2004-12-01,,Human mastadenovirus C,35938,complete,,,,,
AC_000017.1,Human adenovirus 1,"Kovacs,G.M., Davison,A.J., Zakhartchouk,A.N., Harrach,B., Lauer,K.P., Llorente,I., Blair,E., Seto,J., Krasnov,V., Purkayastha,A., Ditty,S.E., Hadfield,T.L., Buck,C., Tibbetts,C., Seto,D.","National Center for Biotechnology Information, NIH",USA,2004-12-01,,Human mastadenovirus C,36001,complete,,,,,
OP871032.1,Human adenovirus 6,"Osipov,I.D., Vasikhovskaia,V.A., Zabelina,D.S., Kutseikin,S.S., Grazhdantseva,A.A., Kochneva,G.V., Davydova,J., Netesov,S.V., Romanenko,M.V.","State Research Center of Virology and Biotechnology 'Vector', Department of Molecular Virology for Flaviviruses and Viral Hepatitis",Russia,2023-05-08,LMV,Human mastadenovirus C,35759,complete,Russia,,Homo sapiens,,2011
OQ518255.1,Human adenovirus 89,"Sereewit,J., Hajian,P., Xie,H., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2023-03-15,HAdV-C89/USA/00774/2011,Human mastadenovirus C,35920,complete,USA,,Homo sapiens,,2011-04
OQ518259.1,Human adenovirus 1,"Sereewit,J., Hajian,P., Xie,H., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2023-03-15,HAdV-C1/USA/04787/2011,Human mastadenovirus C,35979,complete,USA,,Homo sapiens,,2011-08
OQ518261.1,Human adenovirus 2,"Sereewit,J., Hajian,P., Xie,H., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2023-03-15,HAdV-C2/USA/08285/2011,Human mastadenovirus C,35938,complete,USA,,Homo sapiens,,2011-01
OQ518263.1,Human adenovirus 5,"Sereewit,J., Hajian,P., Xie,H., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2023-03-15,HAdV-C5/USA/10166/2012,Human mastadenovirus C,35906,complete,USA,,Homo sapiens,,2012-10
OQ518302.1,Human adenovirus 89,"Sereewit,J., Hajian,P., Xie,H., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2023-03-15,HAdV-C89/USA/52944/2010,Human mastadenovirus C,35911,complete,USA,,Homo sapiens,,2010-12
OM112288.1,Human adenovirus 1,"Fattouh,R., Stapleton,P.J., Eshaghi,A., Thomas,A., Science,M., Schechter-Finkelstein,T., Streitenberger,L., Hubacek,P., Brown,M., Graham,M.R., Gubbay,J.B., Campigotto,A., Patel,S.N., Richardson,S.E.","Public Health Ontario Laboratory, Microbiology",Canada,2022-10-04,HAdVi/C1/Toronto.CAN/2015/Case03,Human mastadenovirus C,36017,complete,Canada: Toronto,,Homo sapiens,,2015
MT505438.1,Human adenovirus 11,"Sherman,A.C., Lu,X., Schneider,E., Langston,A., Ellis,C.L., Pastan,S., Bhatnagar,J., Reagan-Steiner,S., Annambhotla,P., Lindstrom,S., Mehta,A., Pouch,S.M., Sexton,M.E.","Centers for Disease Control and Prevention, Division of Viral Diseases",USA,2021-08-23,,Human mastadenovirus B,34777,complete,USA: Georgia,GA,Homo sapiens,feces,2019-03-27
MN737436.1,Human adenovirus 1,"Yu,J., Zhao,S., Rao,H.","Qinghai Center for Disease Control and Prevention, Department of Virus Detection",China,2020-08-01,,Human mastadenovirus C,36014,complete,China,,Homo sapiens,,2018-11
MT277585.1,Human adenovirus 2,"Yakimovich,A., Gumpert,H., Burckhardt,C.J., Lutschg,V.A., Jurgeit,A., Sbalzarini,I.F., Greber,U.F., Georgi,F., Kuttler,F., Murer,L., Andriasyan,V., Witte,R., Turcatti,G., Hemmi,S., Yu,L., Grove,M., Meili,N.","University of Zurich, Department of Molecular Life Sciences",Switzerland,2020-05-20,HAdV-C2-dE3B-CMV-GFP,Human mastadenovirus C,36523,complete,Switzerland,,,,2019-09-12
LC068713.1,Human adenovirus 6,"Iida,M., Hashizume,M., Watanabe,H., Koyanagi,K., Fujimoto,T.","Laboratory of Genome Science; IST 10F, N14W9, Sapporo, Hokkaido 060-0814",Japan,2016-01-20,,Human mastadenovirus C,35698,complete,Japan,,Homo sapiens,,1987-12-26
LC068719.1,Human adenovirus 6,"Iida,M., Hashizume,M., Watanabe,H., Koyanagi,K., Fujimoto,T.","Laboratory of Genome Science; IST 10F, N14W9, Sapporo, Hokkaido 060-0814",Japan,2016-01-20,,Human mastadenovirus C,35745,complete,Japan,,Homo sapiens,,2005-04-01
FJ025900.1,Simian adenovirus 43,"Roy,S., Vandenberghe,L.H., Kryazhimskiy,S., Grant,R., Calcedo,R., Yuan,X., Keough,M., Sandhu,A., Wang,Q., Medina-Jaszek,C.A., Plotkin,J.B., Wilson,J.M., Somanathan,S., Wang,L., Medina-Jaszek,A.","University of Pennsylvania, Gene Therapy Program, Dept. of Pathology and Laboratory Medicine",USA,2009-07-09,,Human mastadenovirus C,37188,complete,,,,,
